scope,metric,status,value,unit,numerator,denominator,known,total,reason,evidence
repository,merge_count,observed,95,merged pull requests,,,95,,,https://github.com/jomcgi-org/homelab/pull/6030 https://github.com/jomcgi-org/homelab/pull/6070 https://github.com/jomcgi-org/homelab/pull/6077 https://github.com/jomcgi-org/homelab/pull/6079 https://github.com/jomcgi-org/homelab/pull/6086 https://github.com/jomcgi-org/homelab/pull/6122 https://github.com/jomcgi-org/homelab/pull/6125 https://github.com/jomcgi-org/homelab/pull/6144 https://github.com/jomcgi-org/homelab/pull/6145 https://github.com/jomcgi-org/homelab/pull/6147 https://github.com/jomcgi-org/homelab/pull/6162 https://github.com/jomcgi-org/homelab/pull/6171 https://github.com/jomcgi-org/homelab/pull/6176 https://github.com/jomcgi-org/homelab/pull/6177 https://github.com/jomcgi-org/homelab/pull/6202 https://github.com/jomcgi-org/homelab/pull/6203 https://github.com/jomcgi-org/homelab/pull/6209 https://github.com/jomcgi-org/homelab/pull/6210 https://github.com/jomcgi-org/homelab/pull/6211 https://github.com/jomcgi-org/homelab/pull/6213 https://github.com/jomcgi-org/homelab/pull/6214 https://github.com/jomcgi-org/homelab/pull/6215 https://github.com/jomcgi-org/homelab/pull/6216 https://github.com/jomcgi-org/homelab/pull/6218 https://github.com/jomcgi-org/homelab/pull/6219 https://github.com/jomcgi-org/homelab/pull/6221 https://github.com/jomcgi-org/homelab/pull/6223 https://github.com/jomcgi-org/homelab/pull/6228 https://github.com/jomcgi-org/homelab/pull/6229 https://github.com/jomcgi-org/homelab/pull/6230 https://github.com/jomcgi-org/homelab/pull/6231 https://github.com/jomcgi-org/homelab/pull/6232 https://github.com/jomcgi-org/homelab/pull/6233 https://github.com/jomcgi-org/homelab/pull/6234 https://github.com/jomcgi-org/homelab/pull/6235 https://github.com/jomcgi-org/homelab/pull/6236 https://github.com/jomcgi-org/homelab/pull/6237 https://github.com/jomcgi-org/homelab/pull/6238 https://github.com/jomcgi-org/homelab/pull/6239 https://github.com/jomcgi-org/homelab/pull/6240 https://github.com/jomcgi-org/homelab/pull/6242 https://github.com/jomcgi-org/homelab/pull/6243 https://github.com/jomcgi-org/homelab/pull/6244 https://github.com/jomcgi-org/homelab/pull/6272 https://github.com/jomcgi-org/homelab/pull/6275 https://github.com/jomcgi-org/homelab/pull/6276 https://github.com/jomcgi-org/homelab/pull/6289 https://github.com/jomcgi-org/homelab/pull/6291 https://github.com/jomcgi-org/homelab/pull/6292 https://github.com/jomcgi-org/homelab/pull/6293 https://github.com/jomcgi-org/homelab/pull/6294 https://github.com/jomcgi-org/homelab/pull/6297 https://github.com/jomcgi-org/homelab/pull/6298 https://github.com/jomcgi-org/homelab/pull/6299 https://github.com/jomcgi-org/homelab/pull/6300 https://github.com/jomcgi-org/homelab/pull/6303 https://github.com/jomcgi-org/homelab/pull/6305 https://github.com/jomcgi-org/homelab/pull/6308 https://github.com/jomcgi-org/homelab/pull/6310 https://github.com/jomcgi-org/homelab/pull/6311 https://github.com/jomcgi-org/homelab/pull/6312 https://github.com/jomcgi-org/homelab/pull/6313 https://github.com/jomcgi-org/homelab/pull/6314 https://github.com/jomcgi-org/homelab/pull/6315 https://github.com/jomcgi-org/homelab/pull/6316 https://github.com/jomcgi-org/homelab/pull/6317 https://github.com/jomcgi-org/homelab/pull/6318 https://github.com/jomcgi-org/homelab/pull/6319 https://github.com/jomcgi-org/homelab/pull/6322 https://github.com/jomcgi-org/homelab/pull/6323 https://github.com/jomcgi-org/homelab/pull/6326 https://github.com/jomcgi-org/homelab/pull/6328 https://github.com/jomcgi-org/homelab/pull/6330 https://github.com/jomcgi-org/homelab/pull/6331 https://github.com/jomcgi-org/homelab/pull/6332 https://github.com/jomcgi-org/homelab/pull/6335 https://github.com/jomcgi-org/homelab/pull/6336 https://github.com/jomcgi-org/homelab/pull/6337 https://github.com/jomcgi-org/homelab/pull/6338 https://github.com/jomcgi-org/homelab/pull/6339 https://github.com/jomcgi-org/homelab/pull/6341 https://github.com/jomcgi-org/homelab/pull/6350 https://github.com/jomcgi-org/homelab/pull/6352 https://github.com/jomcgi-org/homelab/pull/6355 https://github.com/jomcgi-org/homelab/pull/6356 https://github.com/jomcgi-org/homelab/pull/6357 https://github.com/jomcgi-org/homelab/pull/6362 https://github.com/jomcgi-org/homelab/pull/6369 https://github.com/jomcgi-org/homelab/pull/6374 https://github.com/jomcgi-org/homelab/pull/6384 https://github.com/jomcgi-org/homelab/pull/6387 https://github.com/jomcgi-org/homelab/pull/6389 https://github.com/jomcgi-org/homelab/pull/6390 https://github.com/jomcgi-org/homelab/pull/6391 https://github.com/jomcgi-org/homelab/pull/6392
repository,pr_open_to_merge,observed,14084.0,seconds,,95,95,95,,https://github.com/jomcgi-org/homelab/pull/6030 https://github.com/jomcgi-org/homelab/pull/6070 https://github.com/jomcgi-org/homelab/pull/6077 https://github.com/jomcgi-org/homelab/pull/6079 https://github.com/jomcgi-org/homelab/pull/6086 https://github.com/jomcgi-org/homelab/pull/6122 https://github.com/jomcgi-org/homelab/pull/6125 https://github.com/jomcgi-org/homelab/pull/6144 https://github.com/jomcgi-org/homelab/pull/6145 https://github.com/jomcgi-org/homelab/pull/6147 https://github.com/jomcgi-org/homelab/pull/6162 https://github.com/jomcgi-org/homelab/pull/6171 https://github.com/jomcgi-org/homelab/pull/6176 https://github.com/jomcgi-org/homelab/pull/6177 https://github.com/jomcgi-org/homelab/pull/6202 https://github.com/jomcgi-org/homelab/pull/6203 https://github.com/jomcgi-org/homelab/pull/6209 https://github.com/jomcgi-org/homelab/pull/6210 https://github.com/jomcgi-org/homelab/pull/6211 https://github.com/jomcgi-org/homelab/pull/6213 https://github.com/jomcgi-org/homelab/pull/6214 https://github.com/jomcgi-org/homelab/pull/6215 https://github.com/jomcgi-org/homelab/pull/6216 https://github.com/jomcgi-org/homelab/pull/6218 https://github.com/jomcgi-org/homelab/pull/6219 https://github.com/jomcgi-org/homelab/pull/6221 https://github.com/jomcgi-org/homelab/pull/6223 https://github.com/jomcgi-org/homelab/pull/6228 https://github.com/jomcgi-org/homelab/pull/6229 https://github.com/jomcgi-org/homelab/pull/6230 https://github.com/jomcgi-org/homelab/pull/6231 https://github.com/jomcgi-org/homelab/pull/6232 https://github.com/jomcgi-org/homelab/pull/6233 https://github.com/jomcgi-org/homelab/pull/6234 https://github.com/jomcgi-org/homelab/pull/6235 https://github.com/jomcgi-org/homelab/pull/6236 https://github.com/jomcgi-org/homelab/pull/6237 https://github.com/jomcgi-org/homelab/pull/6238 https://github.com/jomcgi-org/homelab/pull/6239 https://github.com/jomcgi-org/homelab/pull/6240 https://github.com/jomcgi-org/homelab/pull/6242 https://github.com/jomcgi-org/homelab/pull/6243 https://github.com/jomcgi-org/homelab/pull/6244 https://github.com/jomcgi-org/homelab/pull/6272 https://github.com/jomcgi-org/homelab/pull/6275 https://github.com/jomcgi-org/homelab/pull/6276 https://github.com/jomcgi-org/homelab/pull/6289 https://github.com/jomcgi-org/homelab/pull/6291 https://github.com/jomcgi-org/homelab/pull/6292 https://github.com/jomcgi-org/homelab/pull/6293 https://github.com/jomcgi-org/homelab/pull/6294 https://github.com/jomcgi-org/homelab/pull/6297 https://github.com/jomcgi-org/homelab/pull/6298 https://github.com/jomcgi-org/homelab/pull/6299 https://github.com/jomcgi-org/homelab/pull/6300 https://github.com/jomcgi-org/homelab/pull/6303 https://github.com/jomcgi-org/homelab/pull/6305 https://github.com/jomcgi-org/homelab/pull/6308 https://github.com/jomcgi-org/homelab/pull/6310 https://github.com/jomcgi-org/homelab/pull/6311 https://github.com/jomcgi-org/homelab/pull/6312 https://github.com/jomcgi-org/homelab/pull/6313 https://github.com/jomcgi-org/homelab/pull/6314 https://github.com/jomcgi-org/homelab/pull/6315 https://github.com/jomcgi-org/homelab/pull/6316 https://github.com/jomcgi-org/homelab/pull/6317 https://github.com/jomcgi-org/homelab/pull/6318 https://github.com/jomcgi-org/homelab/pull/6319 https://github.com/jomcgi-org/homelab/pull/6322 https://github.com/jomcgi-org/homelab/pull/6323 https://github.com/jomcgi-org/homelab/pull/6326 https://github.com/jomcgi-org/homelab/pull/6328 https://github.com/jomcgi-org/homelab/pull/6330 https://github.com/jomcgi-org/homelab/pull/6331 https://github.com/jomcgi-org/homelab/pull/6332 https://github.com/jomcgi-org/homelab/pull/6335 https://github.com/jomcgi-org/homelab/pull/6336 https://github.com/jomcgi-org/homelab/pull/6337 https://github.com/jomcgi-org/homelab/pull/6338 https://github.com/jomcgi-org/homelab/pull/6339 https://github.com/jomcgi-org/homelab/pull/6341 https://github.com/jomcgi-org/homelab/pull/6350 https://github.com/jomcgi-org/homelab/pull/6352 https://github.com/jomcgi-org/homelab/pull/6355 https://github.com/jomcgi-org/homelab/pull/6356 https://github.com/jomcgi-org/homelab/pull/6357 https://github.com/jomcgi-org/homelab/pull/6362 https://github.com/jomcgi-org/homelab/pull/6369 https://github.com/jomcgi-org/homelab/pull/6374 https://github.com/jomcgi-org/homelab/pull/6384 https://github.com/jomcgi-org/homelab/pull/6387 https://github.com/jomcgi-org/homelab/pull/6389 https://github.com/jomcgi-org/homelab/pull/6390 https://github.com/jomcgi-org/homelab/pull/6391 https://github.com/jomcgi-org/homelab/pull/6392
factory,intake_to_verified_outcome,unavailable,,seconds,,0,0,0,factory history does not span the window,
factory,rework_rate,unavailable,,ratio,0,0,,,factory history does not span the window,
factory,interventions_per_accepted_change,unavailable,,ratio,0,0,,,factory history does not span the window,
factory,cohort_cost_per_accepted_change,unavailable,,USD per accepted change,,,0,0,factory history does not span the window,
context-forge-gateway:gke-production,production_lead_time,unavailable,,seconds,,0,0,0,deployment coverage does not span the window,
context-forge-gateway:gke-production,deployment_frequency,unavailable,,deployments per UTC day,0,7.0,,,deployment coverage does not span the window,
context-forge-gateway:gke-production,change_failure_rate,unavailable,,ratio,0,0,,,deployment and incident coverage do not span the window,
context-forge-gateway:gke-production,failed_deployment_recovery_time,unavailable,,seconds,,0,0,0,deployment and incident coverage do not span the window,
